"Dealer name","State","Brand","Main site","service_path","other paths","known_platform","isDlr"
"Anchor Nissan","RI","Nissan","https://www.anchor-nissan.com","/promotions/service/","/promotions/new/","ddc","TRUE"
"Balise Nissan of Warwick","RI","Nissan","https://balisenissanri.com","/service-specials/","/specials/ | /new-vehicle-specials/ | /offers/","dealer_on","FALSE"
"Nucar Nissan of North Attleboro","MA","Nissan","https://nucarnissannorthattleboro.com","/service-specials/","/new-vehicle-specials/","dealer_inspire","FALSE"
"Speedcraft Nissan","RI","Nissan","https://speedcraftnissan.com","/providence-nissan-service-parts-coupons/","/new-vehicle-specials/","dealer_inspire","FALSE"
"Tasca Nissan East Providence","RI","Nissan","https://www.tascanissaneastprovidence.com/","/promotions/service/","/new-vehicles/new-vehicle-specials/","dealer_inspire","FALSE"
"Anchor Subaru","MA","Subaru","https://anchorsubaru.com","/promotions/service/","/global-incentives/index.htm | /new-subaru-incentives.htm","ddc","TRUE"
"Balise Subaru","RI","Subaru","https://balisesubaru.com","/promotions/service/","/new-subaru-incentives.htm | /new-vehicle-specials.htm","ddc","FALSE"
"Clay Subaru","MA","Subaru","https://claysubaru.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Imperial Subaru","MA","Subaru","https://imperialsubaru.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Stateline Subaru","MA","Subaru","https://statelinesubaru.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Elmwood CDJR","RI","Chrysler, Dodge, Jeep, Ram","https://elmwoodcdjr.com","/mopar-service-coupons.htm","/promotions/new/index.htm | /jeep-lease-deals.htm","ddc","TRUE"
"Bald Hill Dodge Chrysler","RI","CDJR","https://baldhilldodgechrysler.net","/promotions/service/","/promotions/new/","ddc","FALSE"
"First Chrysler Dodge Jeep Ram","MA","CDJR","https://firstchryslerdodgejeepram.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Paul Bailey's CDJR","RI","CDJR","https://baileysmotor.net","/promotions/service/","/promotions/new/","ddc","FALSE"
"Stateline CJDR","MA","CDJR","https://statelinecjdr.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Tasca CDJR","RI","CDJR","https://tascacdjrf.com","/service-specials/","/promotions/ | /specials/ | /offers/ | /new-vehicles/new-vehicle-specials/ | /new-vehicle-specials/","dealer_inspire","FALSE"
"GM of Attleboro","MA","Chevrolet, Buick, GMC","https://attleborobuickgmc.com/","/ServiceAndPartsSpecials.htm","/promotions/new/index.htm","ddc","TRUE"
"Mastria Auto Group","MA","Buick/GMC","https://mastria.com","/service-specials/","/promotions/ | /specials/ | /offers/ | /new-vehicles/new-vehicle-specials/ | /new-vehicle-specials/","dealer_inspire","FALSE"
"Paul Masse Buick GMC South","RI","Buick/GMC","https://paulmassebuickgmcsouth.com","/service-specials/","/specials/ | /new-vehicle-specials/ | /offers/","dealer_on","FALSE"
"Station Buick GMC","MA","Buick/GMC","https://www.checkvachongmcmansfield.com/","/promotions/service/","/newspecials.html","ddc","FALSE"
"Tasca Buick GMC","RI","Buick/GMC","https://tascabuickgmc.com","/service-specials/","/promotions/ | /specials/ | /offers/ | /new-vehicles/new-vehicle-specials/ | /new-vehicle-specials/","dealer_inspire","FALSE"
"Hyundai of Newport","RI","Hyundai","https://hyundaiofnewport.com","/hyundai-service-specials.htm","/new-vehicle-specials.htm","ddc","TRUE"
"First Hyundai","MA","Hyundai","https://firsthyundai.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Grieco Hyundai","RI","Hyundai","https://griecohyundai.com","/service-specials/","/promotions/ | /specials/ | /offers/ | /new-vehicles/new-vehicle-specials/ | /new-vehicle-specials/","dealer_inspire","FALSE"
"Nucar Hyundai of North Kingstown","RI","Hyundai","https://nucarhyundainorthkingstown.com","/service-specials/","/promotions/ | /specials/ | /offers/ | /new-vehicles/new-vehicle-specials/ | /new-vehicle-specials/","dealer_inspire","FALSE"
"Pride Hyundai of Seekonk","MA","Hyundai","https://hyundaiofseekonk.com","/service-specials/","/specials/ | /new-vehicle-specials/ | /offers/","dealer_on","FALSE"
"Kia of Attleboro","MA","Kia","https://kiaofattleboro.com","/promotions/service/index.htm","/monthly-kia-specials.htm","ddc","TRUE"
"Bald Hill Kia","RI","Kia","https://baldhillkia.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Kia of Dartmouth","MA","Kia","https://kiaofdartmouth.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Route 6 Auto Mall Kia","MA","Kia","https://route6automall.com","/service-specials/","/new-vehicle-specials/ | /specials/ | /offers/ | /incentives/","apollo","FALSE"
"Tasca Kia","RI","Kia","https://tascakia.com","/service-specials/","/promotions/ | /specials/ | /offers/ | /new-vehicles/new-vehicle-specials/ | /new-vehicle-specials/","dealer_inspire","FALSE"
"Kia of Groton","CT","Kia","https://kiaofgroton.com","/promotions/service/index.htm","/promotions/new/index.htm","ddc","TRUE"
"Columbia Kia","CT","Kia","https://columbiakia.net","/promotions/service/","/promotions/new/","ddc","FALSE"
"Executive Kia","CT","Kia","https://executivekia.com","/service-specials/","/promotions/ | /specials/ | /offers/ | /new-vehicles/new-vehicle-specials/ | /new-vehicle-specials/","dealer_inspire","FALSE"
"Kia of Old Saybrook","CT","Kia","https://kiaofoldsaybrook.com","/specials/service-specials/","/specials/new-vehicle-specials/ | /specials/national-offers/ | /specials/","sokal","FALSE"
"Putnam Kia","CT","Kia","https://putnamkia.com","/service-specials.htm","/promotions/new/index.htm","ddc","FALSE"
"Newport CDJR","RI","Chrysler, Dodge, Jeep, Ram","https://www.newportjeepram.com","/mopar-service-coupons.htm","/new-vehicle-specials.htm","ddc","TRUE"
"Capitol South CDJR","CT","CDJR","https://capitolsouthcdj.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Paul Bailey's CDJR","RI","CDJR","https://baileysmotor.net","/promotions/service/","/promotions/new/","ddc","FALSE"
"Stateline CJDR","MA","CDJR","https://statelinecjdr.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Tasca CDJR","RI","CDJR","https://tascacdjrf.com","/service-specials/","/promotions/ | /specials/ | /offers/ | /new-vehicles/new-vehicle-specials/ | /new-vehicle-specials/","dealer_inspire","FALSE"
"Premier Kia Branford","--","Kia","https://premierkiact.com","/promotions/service/","/promotions/new/index.htm","ddc","TRUE"
"Crowley Kia","CT","Kia","https://crowleykia.com","/service-specials/","/promotions/ | /specials/ | /offers/ | /new-vehicles/new-vehicle-specials/ | /new-vehicle-specials/","dealer_inspire","FALSE"
"Executive Kia","CT","Kia","https://executivekia.com","/service-specials/","/promotions/ | /specials/ | /offers/ | /new-vehicles/new-vehicle-specials/ | /new-vehicle-specials/","dealer_inspire","FALSE"
"Kia of East Hartford","CT","Kia","https://kiaofeasthartford.com","/service-specials/","/new-vehicle-specials/ | /specials/ | /offers/ | /incentives/","dealer_masters","FALSE"
"Napoli Kia","CT","Kia","https://napolikia.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Premier Subaru Branford","--","Subaru","https://www.premiersubaru.com","/promotions/service/","/promotions/new/index.htm | /global-incentives/index.htm | /new-subaru-incentives.htm","ddc","TRUE"
"Dan Perkins Subaru","CT","Subaru","https://danperkinssubaru.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Gengras Subaru","CT","Subaru","https://gengrassubaru.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Holmgren Subaru","CT","Subaru","https://holmgrensubaru.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Quality Subaru","CT","Subaru","https://qualitysubaru.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Premier Subaru Middlebury","--","Subaru","https://premiersubarumiddlebury.com","/promotions/service/","/global-incentives/index.htm | /promotions/new/index.htm | /new-subaru-incentives.htm","ddc","TRUE"
"Colonial Subaru","CT","Subaru","https://colonialsubaruct.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Dan Perkins Subaru","CT","Subaru","https://danperkinssubaru.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Gengras Subaru","CT","Subaru","https://gengrassubaru.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Quality Subaru","CT","Subaru","https://qualitysubaru.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Steingold Volvo","--","Volvo","https://www.steingoldvolvocars.com","/promotions/service/index.htm","/promotions/new/index.htm","ddc","TRUE"
"Ira Volvo Cars South Shore","MA","Volvo","https://iravolvocarssouthshore.com","/service-specials/","/promotions/ | /specials/ | /offers/ | /new-vehicles/new-vehicle-specials/ | /new-vehicle-specials/","dealer_inspire","FALSE"
"Lovering Volvo Cars Nashua","NH","Volvo","https://loveringnashua.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Tasca Volvo Cars","RI","Volvo","https://tascavolvocars.com","/service-specials/","/promotions/ | /specials/ | /offers/ | /new-vehicles/new-vehicle-specials/ | /new-vehicle-specials/","dealer_inspire","FALSE"
"Viti Volvo Cars Tiverton","RI","Volvo","https://vitivolvocarstiverton.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Toyota of Dartmouth","MA","Toyota","https://toyotaofdartmouth.com","/service-specials/","/new-vehicle-specials/ | /specials/ | /offers/ | /incentives/","apollo","TRUE"
"Bristol Toyota","MA","Toyota","https://bristoltoyota.com","/service-specials/","/new-vehicle-specials/ | /specials/ | /offers/ | /incentives/","dealer_alchemist","FALSE"
"Langway Toyota of Newport","RI","Toyota","https://langwaytoyotaofnewport.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Nucar Toyota of North Kingstown","RI","Toyota","https://nucartoyotanorthkingstown.com","/service-specials/","/promotions/ | /specials/ | /offers/ | /new-vehicles/new-vehicle-specials/ | /new-vehicle-specials/","dealer_inspire","FALSE"
"Route 44 Toyota","MA","Toyota","https://route44toyota.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Westerly CDJR","RI","Chrysler, Dodge, Jeep, Ram","https://www.westerlyjeepram.com","/westerly-service-specials.htm","/new-vehicle-specials.htm","ddc","TRUE"
"Capitol South CDJR","CT","CDJR","https://capitolsouthcdj.com","/promotions/service/","/promotions/new/","ddc","FALSE"
"Paul Bailey's CDJR","RI","CDJR","https://baileysmotor.net","/promotions/service/","/promotions/new/","ddc","FALSE"
"Shoreline CDJR","CT","CDJR","https://shorelinecdjr.com","/service-specials/","/new-vehicle-specials/ | /specials/ | /offers/ | /incentives/","apollo","FALSE"
"Valenti Chrysler Dodge Jeep Ram","CT","CDJR","https://valentichryslerdodgejeep.com","/promotions/service/","/promotions/new/","ddc","FALSE"
